complex,simple,rulebased,t5small,bartbase,t5base_lora,bartlg_lora,best_sari
when the kernel gets very hot and the water inside hits its boiling point above degrees celsius degrees fahrenheit it turns to steam.,when the kernel gets very hot above degrees fahrenheit the water inside turns to steam which is a gas.,When the kernel gets very hot. The water inside hits its boiling point above degrees celsius degrees fahrenheit it turns to steam.,when the kernel gets very hot and the water inside the water gets hotter it turns to steam.,when the water inside gets very hot it turns to steam.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot and the water inside gets very warm it turns to steam.,47.222222222222214
when the kernel gets very hot above degrees celsius degrees fahrenheit the water inside hits its boiling point and turns to steam.,when the kernel gets very hot above degrees fahrenheit the water inside turns to steam which is a gas.,when the kernel gets very hot above degrees celsius degrees fahrenheit the water inside hits its boiling point and turns to steam.,when the kernel gets very hot above degrees celsius degrees fahrenheit the water inside hits its boiling point.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot it gets very boiling.,52.77777777777778
when the kernel gets very hot and the water inside hits its boiling point above degrees celsius degrees fahrenheit it turns to steam.,when the kernel gets very hot above degrees fahrenheit the water inside the seeds heats up.,When the kernel gets very hot. The water inside hits its boiling point above degrees celsius degrees fahrenheit it turns to steam.,when the kernel gets very hot and the water inside the water gets hotter it turns to steam.,when the water inside gets very hot it turns to steam.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot and the water inside gets very warm it turns to steam.,41.21212121212121
when the kernel gets very hot above degrees celsius degrees fahrenheit the water inside hits its boiling point and turns to steam.,when the kernel gets very hot above degrees fahrenheit the water inside the seeds heats up.,when the kernel gets very hot above degrees celsius degrees fahrenheit the water inside hits its boiling point and turns to steam.,when the kernel gets very hot above degrees celsius degrees fahrenheit the water inside hits its boiling point.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot it gets very boiling.,46.46464646464647
when the kernel gets very hot above degrees fahrenheit the water inside turns to steam which is a gas.,when the kernel gets very hot above degrees fahrenheit the water inside the seeds heats up.,when the kernel gets very hot above degrees fahrenheit the water inside turns to steam which is a gas.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot it turns to steam.,when the kernel gets very hot the water inside turns to steam.,when the kernel gets very hot above degrees fahrenheit the water inside turns to steam.,38.65546218487395
the starch cools as soon as it bursts solidifying into a spongy white flake of popcorn.,the starch cools very quickly as soon as the kernel explodes.,The starch cools as soon . It bursts solidifying into a spongy white flake of popcorn.,the starch cools as soon as it bursts into popcorn.,it solidifies into a spongy white flake of popcorn.,the starch cools as soon as it bursts.,the starch cools as soon as it bursts solidifying into a white flake of popcorn.,7.8431372549019605
the starch which used to be hot cools very quickly as soon as the kernel bursts.,the starch cools very quickly as soon as the kernel explodes.,The starch hot cools very quickly as soon as the kernel bursts. It used to be.,it cools very quickly as soon as the kernel bursts.,it cools very quickly as soon as the kernel bursts.,the starch which used to be hot cools very quickly.,the starch which used to be hot cools very quickly as soon as the kernel bursts.,55.22875816993464
the starch cools as soon as it bursts solidifying into a spongy white flake of popcorn.,it turns into a spongy white flake of popcorn.,The starch cools as soon . It bursts solidifying into a spongy white flake of popcorn.,the starch cools as soon as it bursts into popcorn.,it solidifies into a spongy white flake of popcorn.,the starch cools as soon as it bursts.,the starch cools as soon as it bursts solidifying into a white flake of popcorn.,64.70588235294117
after this popping is over the fluffy corn is twice as large and eight times less dense than the original kernel.,after this popping process the fluffy corn is twice as large as the original kernel.,"This popping is over the fluffy corn. After that, is twice as large and eight times less dense than the original kernel.",the fluffy corn is twice as large and eight times less dense than the original kernel.,it is twice as large and eight times less dense than the original corn.,after this popping is over the fluffy corn is twice as large and eight times less dense than the original kernel.,after this popping is over the fluffy corn is twice as large and eight times less dense.,20.146520146520146
after this popping is over the fluffy corn is twice as large and eight times less dense than the original kernel.,after it pops the fluffy corn is much bigger and lighter than the kernel was.,"This popping is over the fluffy corn. After that, is twice as large and eight times less dense than the original kernel.",the fluffy corn is twice as large and eight times less dense than the original kernel.,it is twice as large and eight times less dense than the original corn.,after this popping is over the fluffy corn is twice as large and eight times less dense than the original kernel.,after this popping is over the fluffy corn is twice as large and eight times less dense.,34.140907825118354
